date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:24:03	39146/39146	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Jun%202024%2023:24:15%20GMT	https://dennissnellenberg.com/	C:/My%20Web%20Sites/nnn/dennissnellenberg.com/index.html	(from )
00:24:05	135/135	---MC-	200	added ('OK')	text/plain	date:Thu,%2006%20Jun%202024%2023:24:16%20GMT	https://dennissnellenberg.com/robots.txt		(from )
00:24:08	23728/23728	---M--	200	added ('OK')	image/jpeg	etag:%225cb0-5d9cbd42651b8%22	https://dennissnellenberg.com/media/site/89d468b455-1646837228/meta-image-dennis-snellenberg-860x540-crop-q72.jpg	C:/My%20Web%20Sites/nnn/dennissnellenberg.com/media/site/89d468b455-1646837228/meta-image-dennis-snellenberg-860x540-crop-q72.jpg	(from https://dennissnellenberg.com/)
00:24:14	40516/40516	---M--	200	added ('OK')	application/x-font-otf	etag:%229e44-5d9ca3360c1ac%22	https://dennissnellenberg.com/assets/fonts/NeueMontreal-Regular.otf	C:/My%20Web%20Sites/nnn/dennissnellenberg.com/assets/fonts/NeueMontreal-Regular.otf	(from https://dennissnellenberg.com/)
00:24:14	7772/7772	---M--	200	added ('OK')	text/css	etag:%221e5c-5d9ca3289c2d0%22	https://dennissnellenberg.com/assets/css/normalize.css	C:/My%20Web%20Sites/nnn/dennissnellenberg.com/assets/css/normalize.css	(from https://dennissnellenberg.com/)
00:24:17	1664/1664	---M--	200	added ('OK')	text/css	etag:%22680-5d9ca328b3db7%22	https://dennissnellenberg.com/assets/css/locomotive-scroll.css	C:/My%20Web%20Sites/nnn/dennissnellenberg.com/assets/css/locomotive-scroll.css	(from https://dennissnellenberg.com/)
00:24:19	28166/28166	---M--	200	added ('OK')	text/css	etag:%226e06-5dedfca89ffd2%22	https://dennissnellenberg.com/assets/css/styleguide.css	C:/My%20Web%20Sites/nnn/dennissnellenberg.com/assets/css/styleguide.css	(from https://dennissnellenberg.com/)
00:24:22	2544/2544	---M--	200	added ('OK')	text/css	etag:%229f0-5d9ca32880d50%22	https://dennissnellenberg.com/assets/css/components.css	C:/My%20Web%20Sites/nnn/dennissnellenberg.com/assets/css/components.css	(from https://dennissnellenberg.com/)
00:24:30	40959/40959	---M--	200	added ('OK')	image/jpeg	etag:%229fff-614c867df37c4%22	https://dennissnellenberg.com/media/pages/work/twice/0ab7e43954-1710404752/thumbnail-twice-810x810-crop-q72.jpg	C:/My%20Web%20Sites/nnn/dennissnellenberg.com/media/pages/work/twice/0ab7e43954-1710404752/thumbnail-twice-810x810-crop-q72.jpg	(from https://dennissnellenberg.com/)
00:24:33	54286/54286	---M--	200	added ('OK')	image/jpeg	etag:%22d40e-613a5b69eaa88%22	https://dennissnellenberg.com/media/pages/work/the-damai/b511d32d21-1710452224/thumbnail-thedamai-v2-810x810-crop-q72.jpg	C:/My%20Web%20Sites/nnn/dennissnellenberg.com/media/pages/work/the-damai/b511d32d21-1710452224/thumbnail-thedamai-v2-810x810-crop-q72.jpg	(from https://dennissnellenberg.com/)
00:24:40	27623/27623	---M--	200	added ('OK')	image/jpeg	etag:%226be7-613a59151f25f%22	https://dennissnellenberg.com/media/pages/work/fabric/ac07564a5f-1688453092/thumbnail-fabric-darkgray-810x810-crop-q72.jpg	C:/My%20Web%20Sites/nnn/dennissnellenberg.com/media/pages/work/fabric/ac07564a5f-1688453092/thumbnail-fabric-darkgray-810x810-crop-q72.jpg	(from https://dennissnellenberg.com/)
00:24:48	53139/53139	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Jun%202024%2023:24:59%20GMT	https://dennissnellenberg.com/work	C:/My%20Web%20Sites/nnn/dennissnellenberg.com/work.html	(from https://dennissnellenberg.com/)
00:24:52	33831/33831	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Jun%202024%2023:25:04%20GMT	https://dennissnellenberg.com/about	C:/My%20Web%20Sites/nnn/dennissnellenberg.com/about.html	(from https://dennissnellenberg.com/)
00:24:56	24474/24474	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Jun%202024%2023:25:08%20GMT	https://dennissnellenberg.com/contact	C:/My%20Web%20Sites/nnn/dennissnellenberg.com/contact.html	(from https://dennissnellenberg.com/)
00:25:05	27378/27378	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Jun%202024%2023:25:16%20GMT	https://dennissnellenberg.com/work/twice	C:/My%20Web%20Sites/nnn/dennissnellenberg.com/work/twice.html	(from https://dennissnellenberg.com/)
00:25:08	28920/28920	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Jun%202024%2023:25:20%20GMT	https://dennissnellenberg.com/work/the-damai	C:/My%20Web%20Sites/nnn/dennissnellenberg.com/work/the-damai.html	(from https://dennissnellenberg.com/)
00:25:12	25482/25482	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Jun%202024%2023:25:24%20GMT	https://dennissnellenberg.com/work/fabric	C:/My%20Web%20Sites/nnn/dennissnellenberg.com/work/fabric.html	(from https://dennissnellenberg.com/)
00:25:13	136455/136455	---M--	200	added ('OK')	image/jpeg	etag:%2221507-5d9ca3306ce6a%22	https://dennissnellenberg.com/assets/img/DSC07033.jpg	C:/My%20Web%20Sites/nnn/dennissnellenberg.com/assets/img/DSC07033.jpg	(from https://dennissnellenberg.com/)
00:25:14	26398/26398	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Jun%202024%2023:25:27%20GMT	https://dennissnellenberg.com/work/aanstekelijk	C:/My%20Web%20Sites/nnn/dennissnellenberg.com/work/aanstekelijk.html	(from https://dennissnellenberg.com/)
00:25:25	71558/71558	---M--	200	added ('OK')	image/jpeg	etag:%2211786-613a590ff3e92%22	https://dennissnellenberg.com/media/pages/work/fabric/ac07564a5f-1688453092/thumbnail-fabric-darkgray.jpg	C:/My%20Web%20Sites/nnn/dennissnellenberg.com/media/pages/work/fabric/ac07564a5f-1688453092/thumbnail-fabric-darkgray.jpg	(from https://dennissnellenberg.com/)
00:25:31	43717/43717	---M--	200	added ('OK')	image/jpeg	etag:%22aac5-5d9ca32d8c935%22	https://dennissnellenberg.com/assets/img/home-item-1.jpg	C:/My%20Web%20Sites/nnn/dennissnellenberg.com/assets/img/home-item-1.jpg	(from https://dennissnellenberg.com/)
